id,createdAt,goldScore,domain,favoriteCount,retweetCount,viewsCount,hasArticle,url,text
2015260817076408708,2026-01-25 03:09,9.8,07_crypto_daily_intel_review,254,77,54141,True,https://x.com/0xcryptowizard/status/2015260817076408708,https://t.co/3Vc7q3p9qI
2001461647219814907,2025-12-18 01:16,9.8,07_crypto_daily_intel_review,69,1,38493,True,https://x.com/0xcryptowizard/status/2001461647219814907,https://t.co/539hON9Bv5
2053314158247215493,2026-05-10 03:20,9.8,07_crypto_daily_intel_review,52,7,16954,True,https://x.com/0xcryptowizard/status/2053314158247215493,https://t.co/zAvv4XVFBX
2086943453825622125,2026-08-10 22:31,9.8,07_crypto_daily_intel_review,0,1989,3394,True,https://x.com/0xcryptowizard/status/2086943453825622125,http://x.com/i/article/2086933422921117696
2002225173840474545,2025-12-20 03:50,7.4,07_crypto_daily_intel_review,954,145,284381,False,https://x.com/0xcryptowizard/status/2002225173840474545,很多人还不知道，用 grok 可以直接读 x list 。  1️⃣x任务栏（左侧），点开列表，自己创建一个list，维护一个高质量信息流。  2️⃣直接把这个 list 喂给 grok，让他把一段时间内（24小时/一周）list内高质量 crypto 信息总结成某种格式，也可以针对你自己感兴趣的内容（比如我关注新叙事）。 https://t.co/RDFf7vMHc1
1450415264122564609,2021-10-19 10:55,7.4,07_crypto_daily_intel_review,340,93,0,False,https://x.com/0xcryptowizard/status/1450415264122564609,有多少兄弟在玩NFT，如果大家对这个主题感兴趣，我可以把失败教训先总结，跟大家一起交流。 如果转发+点赞过100，我把trading log整理一个🧵发出来，就叫NFT亏钱的N种方法吧。 很多老师教大家怎么赚钱，我就分享一些亏钱的教训吧。
1756251343260688630,2024-02-10 09:38,7.4,07_crypto_daily_intel_review,327,164,172425,False,https://x.com/0xcryptowizard/status/1756251343260688630,新年继续卷  Nibiru 空投，不需要资金，只需要参与就可以获得积分，后续空投代币（持续到月底28号）。  大家新年资金冲完 merlin，再用点时间卷一下这个空投🧵：
1459035284423720960,2021-11-12 05:48,7.4,07_crypto_daily_intel_review,269,169,0,False,https://x.com/0xcryptowizard/status/1459035284423720960,如何做好数据分析？🧵👇 借着推友的问题，我集中做一个回答。  声明：我并非专业数据分析师，我做分析全部是为自己交易服务；这里囊括的也只是我自己的一些体会，不专业/不完备。
1450785715017584645,2021-10-20 11:27,7.4,07_crypto_daily_intel_review,209,92,0,False,https://x.com/0xcryptowizard/status/1450785715017584645,NFT亏钱的N种方法 🧵👇  赚钱的路径各不相同，亏钱的姿势尽量避免。  这里是我总结的NFT投资中一些坑，实际情况需要各位在投资实践中自己体会了。  另外，很多时候，投资决策是盈亏同源的。面对不确定性，我们不能根据结果来判定当初决策的好坏，要分辨清楚。
1460874524224806915,2021-11-17 07:36,7.4,07_crypto_daily_intel_review,93,40,0,False,https://x.com/0xcryptowizard/status/1460874524224806915,如何冲矿？  最近有几个兄弟都分享了冲vvs矿的经历，作为一个老degen，觉得这个案例蛮有意思 🧵👇 首先，请阅读这三篇冲矿的回顾： @keyahayek : VVS 的自闭之旅 https://t.co/dbF49TSFAg @Wdahei :IQ10版本来了 https://t.co/HWRHFZCqqm @luyaoyuan :VVS回顾 https://t.co/V9iWdKttDn
1975767284724736125,2025-10-08 03:36,7.1,07_crypto_daily_intel_review,885,43,256897,False,https://x.com/0xcryptowizard/status/1975767284724736125,“币安人生”这个币，前面看懂的车头，还有早期进去拿住的，都是顶级聪明人。  确实想问题往后想了几层，我自叹不如，向这些人学习。  值得好好复盘。
1446865327803928577,2021-10-09 15:49,7.1,07_crypto_daily_intel_review,122,52,0,False,https://x.com/0xcryptowizard/status/1446865327803928577,简单复盘一下我理解的crypto投资中的alpha和beta🧵  1/5 alpha各不相同： 可以看我之前分享的，每个领域的顶级玩家，都可以吃到远超过普通玩家的alpha收益。https://t.co/BkxbCPh8K9
1451916902683406336,2021-10-23 14:22,7.1,07_crypto_daily_intel_review,80,30,0,False,https://x.com/0xcryptowizard/status/1451916902683406336,没想到大家的选择是punk，不过以punk作为第一个研究报告也是很有意义的，毕竟punk奠定了当前NFT市场的基础。 再次要感谢  @RexHuang7 ，报告全部内容都来自他的调研信息和整理，后面他也有计划持续做输出，感兴趣的可以关注他。 以下将从 历史/团队/社区/价格复盘 几个方面来介绍🧵👇
1916711890639819016,2025-04-28 04:31,7.0,07_crypto_daily_intel_review,148,10,45805,False,https://x.com/0xcryptowizard/status/1916711890639819016,看个甜甜恋爱剧《苦尽柑来遇见你》，弹幕里面都能男女对立吵起来，还有中韩对立，还有诅咒小孩的，最牛逼的弹幕直接希望所有人都去死。  我平时基本从不用微博/抖音这些，也不看任何投资以外的新闻和信息，最多听听歌，打打游戏，散散步。  猛然间发现这个世界，突然冒出来这么多的仇恨，国家和国家之间，民族与民族之间，不同肤色之间，不同城市之间，不同性别之间，有孩子的和没孩子的，年轻人与老人。  之前有人做过一个实验，一群陌生人，只是分成两组，说做一个竞争对抗游戏，起了不同的组名，比如“雄鹰队”和“狮子队”。这两组完全彼此不认识的陌生人，就开始仇视彼此。  怪不得芒格对如何幸福生活，特别提到“不要仇恨”，因为这，就是人类最愿意去做的不幸之事之一。  我从不圣母的认为这个世界就是充满和平的，也不会认为人性本善，但是作为一个理性人，对另外一个人的评价，应该无关他/她的性别，民族，国籍，肤色，地域，学校，财富。  而是永远针对具体的人，他是否是一个可靠的人，是否是一个品行端正的人，是否是一个诚信的人，依据这些，得出对这个人的判断。  少一点仇恨，少一点歧视，多一点理性，多一点心平气和，这个世界总会稍微好一些。
